Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
1,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V4,BO:3091829,,,543.0,748.5,520.9,741.3,44.1,14.4,31.31,93.91,,
2,State Indicator (Square),NAE6/Field Bus2.FEC-CH7.CA-COMP1-S,BI:3036400,,,955.0,291.5,948.2,284.8,13.5,13.5,55.07,36.57,,
3,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN7,BO:3054381,,,1382.8,728.5,1365.2,722.5,35.1,12.0,79.74,91.41,,
4,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW8-OIL,BI:3054432,,,1417.0,555.5,1411.9,551.8,10.2,7.4,81.72,69.7,,
5,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW1-OIL,BI:3052877,,,202.9,555.5,197.8,551.8,10.2,7.4,11.7,69.7,,
6,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V3,BO:3091827,,,452.0,748.5,429.9,741.3,44.1,14.4,26.07,93.91,,
7,State Indicator (Triangle),NAE6/Field Bus1.FEC-CH2.Parameters.CH2-ALARM,MV:3054640,,,242.0,353.5,235.8,347.5,12.5,12.0,13.96,44.35,,
8,State Indicator (Triangle),NAE6/Field Bus2.FEC-CH8.Parameters.CH8-ALARM,MV:3027169,,,1648.0,344.5,1641.8,338.5,12.5,12.0,95.04,43.22,,
9,State Indicator (Square),NAE6/Field Bus1.FEC-TRT.BLWDWN-S,BI:3053003,,,616.0,502.5,593.9,495.3,44.1,14.4,35.52,63.05,,
10,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN4,BO:3052903,,,548.0,728.5,530.5,722.5,35.1,12.0,31.6,91.41,,
11,State Indicator (Square),NAE6/Field Bus2.FEC-CH7.CH7-ENABLE,BO:3026985,,,1358.0,385.5,1335.9,378.3,44.1,14.4,78.32,48.37,,
12,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V6,BO:3091824,,,1288.0,747.5,1265.9,740.3,44.1,14.4,74.28,93.79,,
13,State Indicator (Circle),NAE6/Field Bus1.FEC-TRT.ACID-S,BI:3053008,,,122.0,697.5,116.4,692.1,11.2,10.8,7.04,87.52,,
14,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V2,BO:3091828,,,360.0,748.5,337.9,741.3,44.1,14.4,20.76,93.91,,
15,State Indicator (Square),NAE6/Field Bus1.FEC-AH1.ADS-BLW,BO:3052864,,,699.0,60.5,680.5,52.5,37.0,16.0,40.31,7.59,,
16,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW6-OIL,BI:3054429,,,1231.0,555.5,1225.9,551.8,10.2,7.4,70.99,69.7,,
17,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V1,BO:3091830,,,264.0,748.5,241.9,741.3,44.1,14.4,15.22,93.91,,
18,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW1-VIB,BI:3052873,,,215.0,564.5,209.9,560.8,10.2,7.4,12.4,70.83,,
19,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW6-VIB,BI:3054434,,,1241.1,555.5,1236.0,551.8,10.2,7.4,71.57,69.7,,
20,State Indicator (Triangle),NAE6/Field Bus2.FEC-CH6.Parameters.CH6-ALARM,MV:3027084,,,1256.0,356.5,1249.8,350.5,12.5,12.0,72.43,44.73,,
21,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V7,BO:3091825,,,1384.0,747.5,1361.9,740.3,44.1,14.4,79.82,93.79,,
22,State Indicator (Square),NAE6/Field Bus2.FEC-CH8.CH8-ENABLE,BO:3027005,,,1567.0,385.5,1544.9,378.3,44.1,14.4,90.37,48.37,,
23,State Indicator (Square),NAE6/Field Bus2.FEC-TRT2.BLWDWN2-S,BI:3029191,,,1051.0,502.5,1028.9,495.3,44.1,14.4,60.61,63.05,,
24,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW5-VIB,BI:3054430,,,1145.1,555.5,1140.0,551.8,10.2,7.4,66.04,69.7,,
25,State Indicator (Triangle),NAE6/Field Bus1.FEC-CH1.Parameters.CH1-ALARM,MV:3054475,,,128.0,353.5,121.8,347.5,12.5,12.0,7.38,44.35,,
26,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN5,BO:3054382,,,1193.2,728.5,1175.7,722.5,35.1,12.0,68.81,91.41,,
27,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW5-OIL,BI:3054431,,,1135.0,555.5,1129.9,551.8,10.2,7.4,65.46,69.7,,
28,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW2-VIB,BI:3052874,,,317.0,564.5,312.0,560.8,10.2,7.4,18.28,70.83,,
29,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW4-OIL,BI:3052880,,,486.0,564.5,480.9,560.8,10.2,7.4,28.03,70.83,,
30,State Indicator (Circle),NAE6/Field Bus2.FEC-TRT2.BROMINE2-S,BI:3029202,,,1684.0,731.5,1678.4,726.1,11.2,10.8,97.12,91.78,,
31,State Indicator (Triangle),NAE6/Field Bus2.FEC-CH5.Parameters.CH5-ALARM,MV:3027058,,,1138.0,355.5,1131.8,349.5,12.5,12.0,65.63,44.6,,
32,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN3,BO:3052902,,,456.0,728.5,438.5,722.5,35.1,12.0,26.3,91.41,,
33,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN8,BO:3054384,,,1474.8,728.5,1457.2,722.5,35.1,12.0,85.05,91.41,,
34,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW8-VIB,BI:3054428,,,1427.1,555.5,1422.0,551.8,10.2,7.4,82.3,69.7,,
35,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW3-OIL,BI:3052879,,,395.0,564.5,389.9,560.8,10.2,7.4,22.78,70.83,,
36,State Indicator (Square),NAE6/Field Bus1.FEC-CH1.CH1-ENABLE,BO:3052827,,,80.0,366.0,62.0,346.5,36.0,39.0,4.61,45.92,,
37,State Indicator (Circle),NAE6/Field Bus1.FEC-TRT.BROMINE-S,BI:3053009,,,121.0,754.5,115.4,749.1,11.2,10.8,6.98,94.67,,
38,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW2-OIL,BI:3052878,,,307.0,564.5,301.9,560.8,10.2,7.4,17.7,70.83,,
39,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW3-VIB,BI:3052875,,,405.0,564.5,400.0,560.8,10.2,7.4,23.36,70.83,,
40,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW7-OIL,BI:3054435,,,1327.0,555.5,1321.9,551.8,10.2,7.4,76.53,69.7,,
41,State Indicator (Triangle),NAE6/Field Bus1.FEC-CH4.Parameters.CH4-ALARM,MV:3054708,,,480.1,353.5,473.8,347.5,12.5,12.0,27.69,44.35,,
42,State Indicator (Circle),NAE6/Field Bus1.FEC-TRT.BIOCIDE-S,BI:3053010,,,121.0,775.5,115.4,770.1,11.2,10.8,6.98,97.3,,
43,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V5,BO:3091826,,,1193.0,747.5,1170.9,740.3,44.1,14.4,68.8,93.79,,
44,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW7-VIB,BI:3054433,,,1337.1,555.5,1332.0,551.8,10.2,7.4,77.11,69.7,,
45,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN6,BO:3054383,,,1290.8,728.5,1273.2,722.5,35.1,12.0,74.44,91.41,,
46,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-V8,BO:3091823,,,1476.0,748.5,1453.9,741.3,44.1,14.4,85.12,93.91,,
47,State Indicator (Triangle),NAE6/Field Bus2.FEC-CH7.Parameters.CH7-ALARM,MV:3027128,,,1435.0,346.5,1428.8,340.5,12.5,12.0,82.76,43.48,,
48,State Indicator (Circle),NAE6/Field Bus2.FEC-TRT2.ACID2-S,BI:3029201,,,1684.0,671.5,1678.4,666.1,11.2,10.8,97.12,84.25,,
49,State Indicator (Triangle),NAE6/Field Bus1.FEC-CH3.Parameters.CH3-ALARM,MV:3054673,,,364.0,353.5,357.8,347.5,12.5,12.0,20.99,44.35,,
50,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN2,BO:3052901,,,364.0,728.5,346.5,722.5,35.1,12.0,20.99,91.41,,
51,State Indicator (Circle),NAE6/Field Bus2.FEC-TRT2.BIOCIDE2-S,BI:3029203,,,1684.0,750.5,1678.4,745.1,11.2,10.8,97.12,94.17,,
52,State Indicator (Circle),NAE6/Field Bus2.FEC-TRT2.INHIB2-S,BI:3029200,,,1684.0,711.5,1678.4,706.1,11.2,10.8,97.12,89.27,,
53,State Indicator (Square),NAE6/Field Bus1.FEC-TP.TW-DRN1,BO:3052900,,,266.5,728.5,248.9,722.5,35.1,12.0,15.37,91.41,,
54,State Indicator (Square),NAE6/Field Bus2.FEC-CH7.CA-COMP2-S,BI:3036401,,,971.0,291.5,964.2,284.8,13.5,13.5,56.0,36.57,,
55,State Indicator (Triangle),NAE6/Field Bus1.FEC-TF.TW4-VIB,BI:3052876,,,496.0,564.5,491.0,560.8,10.2,7.4,28.61,70.83,,
56,State Indicator (Circle),NAE6/Field Bus1.FEC-TRT.INHIB1-S,BI:3053007,,,121.0,736.5,115.4,731.1,11.2,10.8,6.98,92.41,,
57,Fan Animation,NAE6/Field Bus2.FEC-CH5.CH5-S,BI:3026942,,,1111.0,331.5,1091.8,313.1,38.4,36.9,64.07,41.59,,
58,Fan Animation,NAE6/Field Bus1.FEC-TP.TP4-S,BI:3052910,,,831.0,558.5,816.9,544.8,28.2,27.4,47.92,70.08,,
59,Fan Animation,NAE6/Field Bus1.FEC-AH1.SF-S,BI:3052856,,,105.0,78.5,97.7,71.6,14.6,13.7,6.06,9.85,,
60,Fan Animation,NAE6/Field Bus2.FEC-CH8.CH8-S,BI:3027003,,,1626.0,341.5,1602.1,318.7,47.9,45.6,93.77,42.85,,
61,Fan Animation,NAE6/Field Bus2.FEC-CH6.CP6-S,BI:3026948,,,1239.0,217.5,1223.0,203.5,32.0,28.0,71.45,27.29,,
