Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
1,State Indicator (Square),NAE189/Field Bus1.GTP-TRT48.TW48-BLWDWN-S,BI:3002967,,,580.5,243.0,557.0,232.0,47.0,22.0,38.62,31.64,,
2,State Indicator (Square),NAE189/Field Bus1.GTP-TOWER48.TW5-V,BO:3003171,,,676.5,144.0,657.1,134.4,38.8,19.1,45.01,18.75,,
3,State Indicator (Square),NAE189/Field Bus1.GTP-TRT48.CW-SANDFLTR-BW,BI:3002970,,,1273.5,633.0,1261.5,625.7,24.0,14.6,84.73,82.42,,
4,State Indicator (Circle),NAE189/Field Bus1.GTP-TRT23.TW23-BLWDWN-S,BI:3002514,,,476.5,175.0,468.2,166.6,16.7,16.7,31.7,22.78,,
5,State Indicator (Square),NAE189/Field Bus1.GTP-TOWER48.TW8-V,BO:3003191,,,1084.5,144.0,1065.1,134.4,38.8,19.1,72.16,18.75,,
6,State Indicator (Square),NAE189/Field Bus1.GTP-LP.LP4-VLV,BO:3002711,,,52.5,714.5,32.5,705.0,40.0,19.0,3.49,93.03,,
7,State Indicator (Square),NAE189/Field Bus1.GTP-LP.CW-BLWDWN,BO:3002712,,,1251.5,722.0,1232.8,713.9,37.5,16.2,83.27,94.01,,
8,State Indicator (Square),NAE189/Field Bus1.GTP-TOWER48.TW7-V,BO:3003180,,,948.5,144.0,929.1,134.4,38.8,19.1,63.11,18.75,,
9,State Indicator (Square),NAE189/Programming.Data Points.INLET-CLG-S,BV:3003885,,,1436.0,400.5,1385.5,374.0,101.0,53.0,95.54,52.15,,
10,State Indicator (Square),NAE189/Field Bus1.GTP-TOWER48.TW4-V,BO:3003170,,,546.5,144.0,527.1,134.4,38.8,19.1,36.36,18.75,,
11,State Indicator (Triangle),NAE189/Field Bus1.GTP-CH3.Parameters.CH3-ALARM,MV:3002825,,,302.5,466.0,294.9,458.7,15.2,14.6,20.13,60.68,,
12,State Indicator (Square),NAE189/Field Bus1.GTP-TRT23.TW23-BLWDWN-S,BI:3002514,,,52.0,307.0,28.5,296.0,47.0,22.0,3.46,39.97,,
13,State Indicator (Square),NAE189/Field Bus1.GTP-LP.LP3-VLV,BO:3002716,,,129.5,714.5,109.5,705.0,40.0,19.0,8.62,93.03,,
14,State Indicator (Circle),NAE189/Field Bus1.GTP-TRT48.TW48-BLWDWN-S,BI:3002967,,,1312.5,179.0,1304.2,170.7,16.7,16.7,87.33,23.31,,
15,State Indicator (Square),NAE189/Field Bus1.GTP-TOWER48.TW6-V,BO:3003172,,,812.5,144.0,793.1,134.4,38.8,19.1,54.06,18.75,,
16,State Indicator (Square),NAE189/Field Bus1.GTP-CH4.CH4-ENABLE,BO:3002871,,,625.5,534.1,596.6,512.0,57.7,44.1,41.62,69.54,,
17,State Indicator (Square),NAE189/Field Bus1.GTP-CH5.CH5-ENABLE,BO:3002926,,,950.5,534.0,921.6,511.9,57.7,44.1,63.24,69.53,,
18,State Indicator (Square),NAE189/Field Bus1.GTP-CH3.CH3-ENABLE,BO:3002758,,,316.0,521.0,292.5,502.9,47.0,36.3,21.02,67.84,,
19,State Indicator (Triangle),NAE189/Field Bus1.GTP-CH1.Parameters.CH1-SMRT-ALARM,MV:3002790,,,132.5,451.0,124.9,443.7,15.2,14.6,8.82,58.72,,
20,State Indicator (Triangle),NAE189/Field Bus1.GTP-TRT48.CW-CLO2-ALARM,BI:3002968,,,1460.5,694.0,1452.5,687.5,16.0,13.0,97.17,90.36,,
21,State Indicator (Square),NAE189/Field Bus1.GTP-CH1.CH1-ENABLE,BO:3002738,,,85.1,433.5,67.6,415.0,34.9,37.0,5.66,56.45,,
22,State Indicator (Square),NAE189/Field Bus1.GTP-LP.LP2-VLV,BO:3002713,,,205.5,714.5,185.5,705.0,40.0,19.0,13.67,93.03,,
23,State Indicator (Square),NAE189/Field Bus1.GTP-LP.LP1-VLV,BO:3002714,,,290.5,714.5,270.5,705.0,40.0,19.0,19.33,93.03,,
24,State Indicator (Square),NAE189/Field Bus1.GTP-CH3.CH3-STMBLW-V,BO:3004334,,,470.5,449.8,451.8,442.1,37.4,15.6,31.3,58.57,,
25,Fan Animation,NAE189/Field Bus1.GTP-TRT23.TW23-INHIB-S,BI:3002513,,,476.5,194.0,464.7,184.0,23.5,19.9,31.7,25.26,,
26,Fan Animation,NAE189/Field Bus1.GTP-TOWER48.TF7-S,BI:3003174,,,989.5,62.0,974.2,50.0,30.5,24.0,65.83,8.07,,
27,Fan Animation,NAE45/Field Bus1.AH-2.BP-S,BI:3219184,,,1361.5,326.0,1347.9,314.2,27.2,23.5,90.59,42.45,,Point on NAE45 (outside the five controllers)
28,Fan Animation,NAE189/Field Bus1.GTP-TRT23.TW23-NONOX-S,BI:3002515,,,476.5,232.0,464.7,222.0,23.5,19.9,31.7,30.2,,
29,Fan Animation,NAE189/Field Bus1.GTP-BP.BP2-S,BI:3002501,,,1244.5,559.0,1232.1,548.6,24.8,20.8,82.8,72.79,,
30,Fan Animation,NAE189/Field Bus1.GTP-AH5.AH5 SF-S,BI:3003000,,,1399.5,451.0,1391.5,442.5,16.0,17.0,93.11,58.72,,
31,Fan Animation,NAE189/Field Bus1.GTP-CH3.CH3-S,BI:3002756,,,372.5,488.0,344.0,465.5,57.0,45.0,24.78,63.54,,
32,Fan Animation,NAE189/Field Bus1.GTP-TOWER48.TF6-S,BI:3003178,,,853.5,62.0,838.2,50.0,30.5,24.0,56.79,8.07,,
33,Fan Animation,NAE189/Field Bus1.GTP-LP.LP1-S,BI:3002644,,,333.5,698.0,317.3,682.5,32.3,31.0,22.19,90.89,,
34,Fan Animation,NAE189/Field Bus1.GTP-TRT23.TW23-OX-S,BI:3002519,,,476.5,214.0,464.7,204.0,23.5,19.9,31.7,27.86,,
35,Fan Animation,NAE189/Field Bus1.GTP-TRT23.TW23-CHMP-S,BI:3002512,,,420.5,267.0,410.0,256.3,21.0,21.4,27.98,34.77,,
36,Fan Animation,NAE189/Field Bus1.GTP-AH5.AH5 UH-SS,BO:3002994,,,401.5,324.0,388.8,312.6,25.3,22.9,26.71,42.19,,
37,Fan Animation,NAE189/Field Bus1.GTP-CH5.CH5-S,BI:3002924,,,1021.5,495.0,986.7,466.0,69.5,57.9,67.96,64.45,,
38,Fan Animation,NAE189/Field Bus1.GTP-CH3.CH3-TP3-S,BI:3002750,,,277.5,302.0,258.0,286.5,39.0,31.0,18.46,39.32,,
39,Fan Animation,NAE189/Field Bus1.GTP-CH5.CH5-CP5-S,BI:3002920,,,1013.4,604.0,996.3,589.3,34.2,29.5,67.42,78.65,,
40,Fan Animation,NAE189/Field Bus1.GTP-TRT48.TW48-INHIB-S,BI:3002966,,,1312.5,198.0,1300.7,188.0,23.5,19.9,87.33,25.78,,
41,Fan Animation,NAE189/Field Bus1.GTP-TRT48.CW-SANDFLTR-PUMP,BI:3003019,,,1300.5,652.0,1291.5,644.0,18.0,16.0,86.53,84.9,,
42,Fan Animation,NAE189/Field Bus1.GTP-TRT48.TW48-OX-S,BI:3002977,,,1312.5,218.0,1300.7,208.0,23.5,19.9,87.33,28.39,,
43,Fan Animation,NAE189/Field Bus1.GTP-CH1.CH1-TP2-S,BI:3002726,,,102.5,310.6,88.9,296.2,27.3,28.8,6.82,40.44,,
