Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
1,State Indicator (Circle),NAE171/Field Bus2.FEC-TRT.TW-BLWDWN-S,BI:3050928,,,369.0,389.5,361.7,382.5,14.5,13.9,25.62,51.86,,
2,State Indicator (Circle),NAE171/Field Bus2.FAC-TOWER.TW-BSN-HT,BO:3050775,,,88.6,180.7,77.2,171.9,22.8,17.6,6.15,24.06,,
3,State Indicator (Triangle),NAE171/Field Bus2.FEC-CH3.CH3-REFALM,BI:3050684,,,656.0,722.5,646.5,714.5,19.0,16.0,45.56,96.21,,
4,State Indicator (Triangle),NAE171/Field Bus2.FEC-CH1.CH1-REFALM,BI:3051537,,,656.0,342.5,646.5,334.5,19.0,16.0,45.56,45.61,,
5,State Indicator (Square),NAE171/Field Bus2.FAC-TOWER.TW-V2,BO:3050771,,,215.0,216.5,190.8,207.0,48.5,19.0,14.93,28.83,,
6,State Indicator (Square),NAE171/Field Bus2.FEC-TRT.TW-BLWDWN-S,BI:3050928,,,361.0,558.2,337.0,547.5,48.0,21.3,25.07,74.32,,
7,State Indicator (Square),NAE171/Field Bus2.FEC-CH3.CH3-ENABLE,BO:3050695,,,782.8,663.2,757.5,636.0,50.5,54.5,54.36,88.32,,
8,State Indicator (Square),NAE171/Field Bus2.FAC-TOWER.TW-V4,BO:3050774,,,379.0,216.5,354.8,207.0,48.5,19.0,26.32,28.83,,
9,State Indicator (Triangle),NAE171/Field Bus2.FEC-CH3.Parameters.CH3-SMRT-ALARM,MV:3050715,,,652.0,680.9,641.7,672.5,20.6,16.8,45.28,90.67,,
10,State Indicator (Square),NAE171/Field Bus2.FEC-LP.LP3-VLV,BO:3050511,,,1078.0,661.5,1056.9,652.8,42.2,17.5,74.86,88.08,,
11,State Indicator (Triangle),NAE171/Field Bus2.FEC-CH2.Parameters.CH2-SMRT-ALARM,MV:3051610,,,652.0,490.9,641.7,482.5,20.6,16.8,45.28,65.37,,
12,State Indicator (Square),NAE171/Field Bus2.FAC-TOWER.TW-V3,BO:3050773,,,306.0,216.5,281.8,207.0,48.5,19.0,21.25,28.83,,
13,State Indicator (Triangle),NAE171/Field Bus2.FEC-CH1.Parameters.CH1-SMRT-ALARM,MV:3051584,,,652.0,304.5,641.7,296.1,20.6,16.8,45.28,40.55,,
14,State Indicator (Square),NAE171/Field Bus2.FEC-CH1.CH1-ENABLE,BO:3051548,,,784.8,285.2,759.5,258.0,50.5,54.5,54.5,37.98,,
15,State Indicator (Square),NAE171/Programming.Chlr Plant Programming.Water Treatment.HRN-TOWER-CIRC,BV:3053966,,,493.0,135.0,457.0,111.5,72.0,47.0,34.24,17.98,,
16,State Indicator (Square),NAE171/Field Bus2.FAC-TOWER.TW-V1,BO:3050803,,,141.0,216.5,116.8,207.0,48.5,19.0,9.79,28.83,,
17,State Indicator (Square),NAE171/Field Bus2.FEC-LP.LP2-VLV,BO:3050498,,,1078.0,585.5,1056.9,576.8,42.2,17.5,74.86,77.96,,
18,State Indicator (Square),NAE171/Field Bus2.FEC-LP.LP1-VLV,BO:3050497,,,1078.0,506.5,1056.9,497.8,42.2,17.5,74.86,67.44,,
19,State Indicator (Square),NAE171/Field Bus2.FEC-CH2.CH2-ENABLE,BO:3051564,,,783.0,475.2,757.8,448.0,50.5,54.5,54.37,63.28,,
20,Fan Animation,NAE171/Field Bus2.FEC-CH2.CH2-CP2-S,BI:3051559,,,920.0,497.5,902.0,479.5,36.0,36.0,63.89,66.25,,
21,Fan Animation,NAE171/Field Bus2.FEC-TRT.TW-INHIB-S,BI:3050934,,,369.3,408.6,358.0,397.5,22.6,22.2,25.64,54.41,,
22,Fan Animation,NAE171/Field Bus2.FEC-TRT.TW-OX-S,BI:3050935,,,369.3,437.1,358.0,425.5,22.6,23.2,25.64,58.2,,
23,Fan Animation,NAE171/Field Bus2.FEC-CH3.CH3-S,BI:3050689,,,689.0,586.5,663.9,561.2,50.1,50.6,47.85,78.1,,
24,Fan Animation,NAE171/Field Bus2.FEC-LP.BP2-S,BI:3050491,,,1179.0,289.5,1160.4,275.6,37.2,27.9,81.88,38.55,,
