Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
1,State Indicator (Square),NAE167/Field Bus1.LP12.LP1-VLV,BO:3005744,,,1202.0,265.0,1180.4,255.2,43.1,19.5,77.05,31.55,,
2,State Indicator (Triangle),NAE167/Field Bus1.CH1.CH1-ALARM,BI:3005864,,,619.8,380.9,610.0,373.0,19.6,15.8,39.73,45.34,,
3,State Indicator (Square),NAE72/N2 Trunk 1.UNT-GC.CHW-SWCH,BO:3008969,,,1403.0,807.0,1398.0,802.5,10.0,9.0,89.94,96.07,,Point on NAE72 (outside the five controllers)
4,State Indicator (Square),NAE167/Field Bus1.CH2.CH2-CISO-V,BO:3005824,,,864.0,689.0,842.4,680.5,43.1,17.0,55.38,82.02,,
5,State Indicator (Square),NAE72/N2 Trunk 1.UNT-GC.CHW-SWCH,BO:3008969,,,1379.0,781.0,1374.0,776.5,10.0,9.0,88.4,92.98,,Point on NAE72 (outside the five controllers)
6,State Indicator (Square),NAE167/Field Bus1.CH1.CH1-ENABLE,BO:3005874,,,736.5,362.5,713.0,336.0,47.0,53.0,47.21,43.15,,
7,State Indicator (Square),NAE167/Field Bus1.TRT-CH12.TW1-BLWDWN-S,BI:3005986,,,385.0,366.0,363.4,356.2,43.1,19.5,24.68,43.57,,
8,State Indicator (Square),NAE167/Field Bus1.CH1.CH1-CISO-V,BO:3005861,,,859.0,365.0,837.4,355.2,43.1,19.5,55.06,43.45,,
9,State Indicator (Square),NAE167/Field Bus1.TRT-CH12.TW2-BLWDWN-S,BI:3005994,,,331.0,702.0,299.3,689.0,63.4,26.0,21.22,83.57,,
10,State Indicator (Triangle),NAE167/Field Bus1.CH2.Parameters.CH2-SMRT-ALARM,MV:3005928,,,622.0,710.7,612.6,702.0,18.8,17.4,39.87,84.61,,
11,State Indicator (Square),NAE167/Field Bus1.CH2.CH2-ENABLE,BO:3005845,,,751.2,691.5,727.4,664.0,47.6,55.0,48.15,82.32,,
12,State Indicator (Square),NAE72/N2 Trunk 1.UNT-GC.CHW-SWCH,BO:3008969,,,1386.0,736.0,1381.0,731.5,10.0,9.0,88.85,87.62,,Point on NAE72 (outside the five controllers)
13,State Indicator (Circle),NAE167/Field Bus1.TRT-CH12.TW2-BLWDWN-S,BI:3005994,,,614.0,486.0,605.8,478.5,16.5,15.0,39.36,57.86,,
14,State Indicator (Square),NAE167/Field Bus1.LP12.LP2-VLV,BO:3005745,,,1203.0,317.0,1181.4,307.2,43.1,19.5,77.12,37.74,,
15,State Indicator (Circle),NAE167/Field Bus1.TRT-CH12.TW1-BLWDWN-S,BI:3005986,,,277.2,245.0,269.0,237.5,16.5,15.0,17.77,29.17,,
16,State Indicator (Square),NAE167/Field Bus1.CH2.FX-CISO-V,BO:3005825,,,824.0,746.0,802.4,736.2,43.1,19.5,52.82,88.81,,
17,Fan Animation,NAE72/N2 Trunk 1.DX-BCWS.BP1-S,BI:3008938,,,1308.0,561.0,1294.1,548.2,27.9,25.5,83.85,66.79,,Point on NAE72 (outside the five controllers)
18,Fan Animation,NAE72/N2 Trunk 1.UNT-GC.BP3-S,BI:3008962,,,1321.0,792.0,1308.1,781.9,25.8,20.2,84.68,94.29,,Point on NAE72 (outside the five controllers)
19,Fan Animation,NAE167/Field Bus1.LP12.LP2-S,BI:3005750,,,1160.0,343.0,1142.1,326.1,35.9,33.8,74.36,40.83,,
20,Fan Animation,NAE167/Field Bus1.CH1.Parameters.CMP1-S,MV:3024909,,,646.3,307.0,631.7,293.0,29.2,27.9,41.43,36.55,,
21,Fan Animation,NAE167/Field Bus1.TRT-CH12.TW1-OX-S,BI:3005989,,,277.2,291.0,265.4,281.2,23.7,19.7,17.77,34.64,,
22,Fan Animation,NAE167/Field Bus1.TRT-CH12.TW1-INHIB-S,BI:3005999,,,277.2,264.0,265.4,254.2,23.7,19.7,17.77,31.43,,
23,Fan Animation,NAE167/Field Bus1.CH1.CH1-TF1-S,BI:3005862,,,166.1,95.2,148.0,83.5,36.1,23.5,10.64,11.34,,
24,Fan Animation,NAE167/Field Bus1.TRT-CH12.TW2-OX-S,BI:3005992,,,614.0,532.0,602.2,522.2,23.7,19.7,39.36,63.33,,
25,Fan Animation,NAE167/Field Bus1.CH2.CH2-TF2-S,BI:3005815,,,225.0,463.0,209.5,450.0,31.0,26.1,14.42,55.12,,
26,Fan Animation,NAE167/Field Bus1.CH1.CH1-CP1-S,BI:3005868,,,908.0,394.0,892.0,376.7,32.0,34.7,58.21,46.9,,
