Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
1,State Indicator (Circle),NAE167/Field Bus1.TRT-CH3.TW3-BLWDWN-S,BI:3001296,,,437.0,342.0,429.5,334.9,15.0,14.2,30.6,45.12,,
2,State Indicator (Square),NAE167/Field Bus1.CH3.CH3-DS-BLW,BO:3001191,,,1147.0,671.0,1120.0,661.0,54.0,20.0,80.32,88.52,,
3,State Indicator (Triangle),NAE167/Field Bus1.CH3.Parameters.CH3-SMRT-ALARM,MV:3001270,,,520.0,552.0,511.9,543.0,16.2,18.0,36.41,72.82,,
4,State Indicator (Square),NAE167/Field Bus1.CH3.CH3-ENABLE,BO:3001232,,,714.0,557.8,691.5,530.3,45.0,55.0,50.0,73.59,,
5,State Indicator (Square),NAE167/Field Bus1.TRT-CH3.TW3-BLWDWN,BO:3001313,,,559.5,323.0,530.0,310.0,59.0,26.0,39.18,42.61,,
6,Fan Animation,NAE167/Field Bus1.AH9.CH3 EF-S,BI:3001346,,,971.0,241.0,956.5,225.7,29.0,30.6,68.0,31.79,,
7,Fan Animation,NAE167/Field Bus1.TRT-CH3.TW3-OX-S,BI:3001308,,,437.0,391.0,423.5,382.2,26.9,17.6,30.6,51.58,,
8,Fan Animation,NAE167/Field Bus1.AH9.AH9 CWP-S,BI:3001402,,,1210.0,356.8,1193.0,346.6,34.0,20.4,84.73,47.07,,
9,Fan Animation,NAE167/Field Bus1.CH3.CH3-TF1-S,BI:3001193,,,175.0,132.0,152.8,116.4,44.4,31.3,12.25,17.41,,
10,Fan Animation,NAE167/Field Bus1.CH3.CH3-CP3-S,BI:3001222,,,884.0,587.0,864.0,567.0,40.0,40.0,61.9,77.44,,
11,Fan Animation,NAE167/Field Bus1.TRT-CH3.TW3-NONOX-S,BI:3001307,,,437.0,411.0,423.5,402.2,26.9,17.6,30.6,54.22,,
