Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
1,State Indicator (Triangle),NAE5/N2 Trunk 1.DX-CH2.CH-ALM,BI:3007419,,,554.0,653.0,544.4,644.1,19.2,17.8,36.64,82.45,,
2,State Indicator (Square),NAE5/N2 Trunk 1.DX-CH2.CH-ENB,BO:3007422,,,498.0,639.7,480.4,634.1,35.2,11.2,32.94,80.77,,
3,State Indicator (Square),NAE5/N2 Trunk 1.DX-CH1.CH-S,BI:3007386,,,502.0,472.2,484.4,466.6,35.2,11.2,33.2,59.62,,
4,State Indicator (Triangle),NAE5/N2 Trunk 1.DX-CH1.CH-ALM,BI:3007394,,,560.0,471.0,550.4,462.1,19.2,17.8,37.04,59.47,,
5,State Indicator (Square),NAE5/N2 Trunk 1.DX-CH1.CH-ENB,BO:3007397,,,502.0,457.4,484.4,451.8,35.2,11.2,33.2,57.75,,
6,State Indicator (Square),NAE5/N2 Trunk 1.DX-TWR.BLOWDOWN-S,BI:3019274,,,566.0,288.0,538.5,277.5,55.0,21.0,37.43,36.36,,
7,State Indicator (Square),NAE5/N2 Trunk 1.DX-CH2.CH-S,BI:3007411,,,498.0,654.4,480.4,648.8,35.2,11.2,32.94,82.63,,
8,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.ACID-SS,,,,653.0,171.0,644.5,161.0,17.0,20.0,43.19,21.59,,Bound object not found in Metasys (broken binding)
9,Fan Animation,NAE5/Field Bus2.SRC-BLCW.BP2-S,BI:3028205,,,1379.0,410.0,1365.5,396.6,26.9,26.8,91.2,51.77,,
10,Fan Animation,NAE5/Field Bus2.SRC-BLCW.BP1-S,BI:3028198,,,1325.0,410.0,1311.5,396.6,26.9,26.8,87.63,51.77,,
11,Fan Animation,NAE5/N2 Trunk 1.DX-CH2.CHP-S,BI:3007413,,,818.0,666.0,801.5,649.0,33.0,34.0,54.1,84.09,,
12,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.TWF1A-S,BI:3007510,,,130.0,183.0,115.0,171.1,30.0,23.8,8.6,23.11,,
13,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.TWF2B-S,BI:3007519,,,392.0,183.0,377.0,171.1,30.0,23.8,25.93,23.11,,
14,Fan Animation,NAE5/Field Bus2.SRC-BLCW.LP2-S,BI:3028192,,,978.0,626.0,961.9,609.8,32.2,32.5,64.68,79.04,,
15,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.INHIB-SS,,,,656.0,207.0,647.5,197.0,17.0,20.0,43.39,26.14,,Bound object not found in Metasys (broken binding)
16,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.TWP1-S,BI:3007506,,,203.0,459.0,186.5,442.5,33.0,33.0,13.43,57.95,,
17,Fan Animation,NAE5/N2 Trunk 1.AH-14.SF-S,BI:3007527,,,953.0,366.0,934.5,349.0,37.0,34.0,63.03,46.21,,
18,Fan Animation,NAE5/N2 Trunk 1.DX-CH1.CHP-S,BI:3007388,,,819.0,480.0,802.2,462.8,33.5,34.5,54.17,60.61,,
19,Fan Animation,NAE5/Field Bus2.SRC-BLCW.LP1-S,BI:3028191,,,978.0,566.0,961.9,549.8,32.2,32.5,64.68,71.46,,
20,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.TWF2A-S,BI:3007516,,,324.0,183.0,309.0,171.1,30.0,23.8,21.43,23.11,,
21,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.TWP2-S,BI:3007508,,,203.0,647.0,187.0,629.5,32.0,35.0,13.43,81.69,,
22,Fan Animation,NAE5/N2 Trunk 1.DX-TWR.TWF1B-S,BI:3007513,,,198.0,183.0,183.0,171.1,30.0,23.8,13.1,23.11,,
23,Value Display,NAE5/N2 Trunk 1.DX-TWR.Parameters.TWS-T,AO:3009861,,,90.0,582.0,66.2,572.0,47.5,20.0,5.95,73.48,,
24,Value Display,NAE5/Programming.Data Points.TP-KWpTon,AV:3022359,,,806.0,276.0,786.9,268.0,38.2,16.0,53.31,34.85,,
25,Value Display,NAE5/Field Bus2.SRC-BLCW.LP1VLV-C,BO:3028195,,,1031.0,539.0,1010.0,531.9,42.1,14.2,68.19,68.06,,
26,Value Display,NAE5/Field Bus2.SRC-PAU5.CLG-O,AO:3029127,,,1161.0,179.0,1144.1,172.3,33.8,13.3,76.79,22.6,,
27,Value Display,NAE5/N2 Trunk 1.DX-CH1.CH-AUTO,BI:3007392,,,501.0,442.0,483.8,436.0,34.4,11.9,33.13,55.81,,
28,Value Display,NAE110/Programming.Chiller Plant Data.Data Points.SRC Primary Hkwp Ton,AV:3164708,,,806.0,197.0,786.9,189.0,38.2,16.0,53.31,24.87,,Point on NAE110 (outside the five controllers)
29,Text Label,,,LP,,774.0,259.0,762.4,250.5,23.2,17.0,51.19,32.7,,
30,Value Display,NAE5/Field Bus2.SRC-BLCW.BCWR-T,AI:3028200,,,1247.0,475.0,1230.8,466.0,32.3,18.0,82.47,59.97,,
