Controller,Object Name,Object Identifier,Display Name,Description
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-ALM-BI,BI:3095987,ECP.CH9-ALM-BI,Chiller 9 Alarm
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-AUTO,BI:3096000,ECP.CH9-AUTO,CHILLER 9 AUTO
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-ENABLE,BO:3095996,ECP.CH9-ENABLE,Chiller 9 Enable
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-F,AI:3095989,ECP.CH9-F,Chiller 9 CHW Flow
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-HAND,BI:3095988,ECP.CH9-HAND,CHILLER 9 HAND
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-HXP1-S,BI:3095986,ECP.CH9-HXP1-S,Primary CHW Pump 9 Status (Parallel start)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-HXP1-SC,AO:3095997,ECP.CH9-HXP1-SC,Chiller 9 Primary CW Pump Speed
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-HXP1-SS,BO:3095999,ECP.CH9-HXP1-SS,Primary CHW Pump 9 Command
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9-S,BI:3095995,ECP.CH9-S,Chiller 9 Status
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9R-T,AI:3095991,ECP.CH9R-T,CHILLER 9 RET TEMP
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9S-T,AI:3095993,ECP.CH9S-T,CHLR 9 SUP TEMP
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9TW-F,AI:3095994,ECP.CH9TW-F,CHILLER 9 TOWER FLOW
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9TW-V,AO:3095998,ECP.CH9TW-V,CHILLER 9 TOWER ISO VALVE
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9TWR-T,AI:3095992,ECP.CH9TWR-T,CHILLER 9 TOWER RET TEMP
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.CH9TWS-T,AI:3095990,ECP.CH9TWS-T,CHILLER 9 TOWER SUP TEMP
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.Alarm Reset,MV:3096017,Alarm Reset,Input (Enum)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH4 In Alarm,BV:3096002,CH4 In Alarm,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH4 NDX-SS,BV:3096003,CH4 NDX-SS,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-%LOAD,AV:3096013,CH9-%LOAD,Output (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-ALARM,MV:3096016,ECP.CH9-ALARM,Output (Enum)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-eRATE,AV:3096012,CH9-eRATE,Output (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-KWin,AV:3096022,CH9-KWin,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-LOAD,AV:3096014,CH9-LOAD,Output (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-LP-START,BV:3096007,CH9-LP-START,CS Output (Boolean)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-TP-START,BV:3096006,CH9-TP-START,CS Output (Boolean)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-TW-LOAD,AV:3096004,CH9-TW-LOAD,Output (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9TW-V-CIRC-ONDLY,AV:3104340,CH9TW-V-CIRC-ONDLY,
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH9TW-VLV-SP,AV:3096008,CH9TW-VLV-SP,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CH-SEQ,AV:3096023,CH-SEQ,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CHLR-ON,MV:3096011,CHLR-ON,Output (Enum)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CHLR-STR,MV:3096019,CHLR-STR,Output (Enum)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CHLRS ON,AV:3096010,CHLRS ON,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CHTWV-OU,AV:3096015,CHTWV-OU,Output (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CP9SC-SP,AV:3096009,CP9SC-SP,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.CSYSENB,MV:3096020,CSYSENB,Output (Enum)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.ECP9-NDX,AV:3096018,ECP9-NDX,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.NDX-SS,BV:3096024,NDX-SS,Output (Boolean)
ECCP-NAE6,NAE6/Field Bus1.CGM-CH9.Parameters.TOWER-CIRC,BV:3096005,TOWER-CIRC,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-1,AV:3053083,CH1 REM LEAVING CHW TEMP SP,Remote Leaving CHWST SP
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-2,AV:3053082,CH1 MOTOR CURRENT REMOTE SP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-5,AV:3053081,CH1 LEAVING CHW TEMP,
